,Film,Director,Cast
0,Citizen Kane,Orson Welles,Agnes Moorehead:Dorothy Comingore:Erskine Sanford:Everett Sloane:Fortunio Bonanova:George Coulouris:Georgia Backus:Gus Schilling:Harry Shannon:Paul Stewart:Philip Van Zandt:Ray Collins:Ruth Warrick:William Alland
1,The Godfather,Francis Ford Coppola,Abe Vigoda:Al Lettieri:Diane Keaton:Gianni Russo:James Caan:John Cazale:John Marley:Richard Conte:Richard S. Castellano:Robert Duvall:Rudy Bond:Sterling Hayden:Talia Shire
2,Rear Window,Alfred Hitchcock,Havis Davenport:Irene Winston:Jerry Antes:Jesslyn Fax:Rand Harper
3,Casablanca,Michael Curtiz,Claude Rains:Conrad Veidt:Curt Bois:Dooley Wilson:Enrique Acosta:John Qualen:Joy Page:Leonid Kinskey:Madeleine Lebeau:Paul Henreid:Peter Lorre:S.Z. Sakall:Sydney Greenstreet
4,Boyhood,Richard Linklater,Alyssa Petersen:Andrea Chen:Andrew Villarreal:Angela Rawna:Bonnie Cross:Brad Hawkins:Cassidy Johnson:David Blackwell:Deanna Brochin:Derek Chase Hickey:Elijah Smith:Ethan Hawke:Evie Thompson:Greg Baglia:Jamie Howard:Jonathan Bell:Jordan Howard:Libby Villari:Lorelei Linklater:Marco Perella:Mark Finn:Megan Devine:Mona Lee Fultz:Natalie Wilemon:Nick Krause:Patricia Arquette:Ryan Power:Sam Dillon:Savannah Welch:Shane Graham:Sharee Fowler:Steven Chester Prince:Sydney Orta:Tamara Jolaine:Tess Allen:Zoe Graham
5,Three Colors: Red,Krzysztof Kieslowski,Bernard Escalon:Brigitte Raul:Elzbieta Jasinska:Frédérique Feder:Jean Schlegel:Jean-Marie Daunas:Jean-Pierre Lorit:Leo Ramseyer:Marion Stalens:Paul Vermeulen:Roland Carey:Samuel Le Bihan:Teco Celio
6,Vertigo,Alfred Hitchcock,Danny Borzage:Isabel Analla:Jack Ano:John Benson:Margaret Bacon
7,Notorious,null,null
8,Singin' in the Rain,Gene Kelly Stanley Donen,Bette Arlen:Betty Allen:Jimmy Bates:Marie Ardell:Sue Allen
9,City Lights,null,null
10,Moonlight,Barry Jenkins,Alex R. Hibbert:Andre Holland:Ashton Sanders:Duan 'Sandy' Sanderson:Duan Sanderson:Duan'Sandy' Sanderson:Eddie Blanchard:Edson Jean:Herman 'Caheei McGloun:Jaden Piner:Janelle Monáe:Jharrel Jerome:Kamal Ani-Bellow:Keomi Givens:Larry Anderson:Mahershala Ali:Naomie Harris:Patrick Decile:Rudi Goblen:Rudi Goblin:Shariff Earp:Stephon Bron:Tanisha Cidel:Trevante Rhodes
11,Intolerance,D.W. Griffith,Dore Davidson:Edward Dillon:Elmer Clifton:Frank Bennett:Josephine Crowell:Lucille Browne:Mary Alden:Miriam Cooper:Monte Blue:Pearl Elmore:Sam De Grasse:Spottiswoode Aitken:Taylor N. Duncan:William H. Brown
12,Pinocchio,Ben Sharpsteen Bill Roberts Hamilton Luske Jack Kinney Norman Ferguson T. Hee Wilfred Jackson,Clarence Nash:Jack Mercer:John McLeish:Mae Questel:Patricia Page:Thurl Ravenscroft
13,Touch of Evil,Orson Welles,Joi Lansing:Lalo Rios:Michael Sargent:Phil Harvey:Victor Millan
14,The Lady Vanishes,null,null
15,The Treasure of the Sierra Madre,John Huston,Guillermo Calles:Jacqueline Dalya:Robert Blake:Roberto Cañedo:Spencer Chan
16,Pan's Labyrinth,Guillermo del Toro,Álex Angulo:César Vea:Doug Jones:Eusebio Lázaro:Francisco Vidal:Gonzalo Uriarte:Ivan Massagué:Juanjo Cucalón:Lina Mira:Manolo Solo:Maribel Verdú:Roger Casamajor
17,Some Like It Hot,Billy Wilder,Barbara Drew:Beverly Wills:Dave Barry:Harry Wilson:Mike Mazurki
18,North by Northwest,Alfred Hitchcock,Edward Binns:Les Tremayne:Patrick McVey:Philip Coolidge:Robert Ellenstein
19,Hoop Dreams,null,null
20,Rashomon,Akira Kurosawa,null
21,All About Eve,Joseph L. Mankiewicz,Barbara White:Craig Hill:Leland Harris:Randy Stuart:Walter Hampden
22,Jules and Jim,François Truffaut,Anny Nelsen:Bernard Largemain:Danielle Bassiak:Dominique Lacarrière:Elen Bober:Henri Serre:Kate Noelle:Marie Dubois:Michel Subor:Pierre Fabre:Sabine Haudepin:Serge Rezvani:Vanna Urbino
